,Sale Price
0,60100
1,128000
2,68000
3,390000
4,367000
5,70000
6,65000
7,92500
8,152250
9,170000
10,80500
11,735000
12,218000
13,209000
14,75000
15,185000
16,44000
17,128000
18,314000
19,208000
20,570000
21,126624
22,30836
23,349270
24,230000
25,95000
26,28000
27,312375
28,306484
29,305000
30,612500
31,72000
32,239000
33,35000
34,421000
35,97000
36,58000
37,87000
38,319500
39,620000
40,356000
41,309000
42,595000
43,554000
44,258000
45,75000
46,174406
47,250000
48,36900
49,53000
50,165000
51,136100
52,260000
53,218000
54,285000
55,290100
56,187000
57,206000
58,255000
59,100000
60,156000
61,290000
62,250000
63,255000
64,384900
65,330000
66,87900
67,247000
68,82000
69,344000
70,240000
71,96000
72,42500
73,161000
74,39900
75,257000
76,235000
77,319000
78,212500
79,179000
80,40250
81,287000
82,116000
83,530000
84,435000
85,245000
86,293000
87,73000
88,251000
89,580000
90,365000
91,239900
92,30000
93,370000
94,356000
95,538688
96,330000
97,703500
98,245000
99,145000
100,60000
101,239000
102,33250
103,191000
104,329000
105,245000
106,70000
107,212000
108,649000
109,166000
110,230000
111,32000
112,528000
113,196000
114,179900
115,248000
116,335000
117,98000
118,325000
119,65000
120,500000
121,287000
122,172500
123,379000
124,295000
125,117500
126,290000
127,637500
128,455000
129,215000
130,174000
131,270000
132,200000
133,197000
134,665000
135,207000
136,270000
137,65050
138,427000
139,410000
140,530000
141,162000
142,699000
143,40000
144,38000
145,26400
146,52300
147,345000
148,130000
149,150000
150,130000
151,750000
152,75000
153,144000
154,210000
155,170000
156,180000
157,435000
158,402500
159,26000
160,360000
161,175000
162,310000
163,315000
164,675000
165,285000
166,72500
167,243000
168,238000
169,95100
170,113000
171,172000
172,329000
173,28600
174,710000
175,32000
176,395000
177,214000
178,305000
179,315750
180,510000
181,63299
182,39000
183,459000
184,165000
185,417000
186,290000
187,283000
188,572000
189,340000
190,132000
191,143143
192,136000
193,225000
194,230000
195,66900
196,55000
197,452500
198,385000
199,140000
200,470650
201,165000
202,319900
203,31681
204,214900
205,220000
206,68000
207,220000
208,274000
209,105000
210,740000
211,189000
212,240000
213,350000
214,349900
215,95200
216,214000
217,208000
218,200000
219,410000
220,250000
221,167000
222,100559
223,109000
224,115000
225,345000
226,430500
227,154900
228,68000
229,399500
230,332000
231,130000
232,307900
233,221000
234,30000
235,65100
236,560000
237,122000
238,70000
239,590000
240,190000
241,612500
242,68000
243,93304
244,93900
245,255000
246,385000
247,80000
248,213000
249,335000
250,338500
251,234500
252,191000
253,68000
254,125000
255,207000
256,147000
257,230000
258,143500
259,225000
260,34900
261,209900
262,215000
263,183000
264,485000
265,244000
266,155000
267,152000
268,245000
269,640000
270,191500
271,31000
272,94000
273,179500
274,145000
275,330000
276,159500
277,164000
278,208000
279,250000
280,337000
281,522500
282,85000
283,189500
284,245000
285,495000
286,132010
287,634500
288,96000
289,60000
290,725000
291,255000
292,390500
293,609000
294,160000
295,29900
296,214000
297,192000
298,190000
299,234000
300,104000
301,595000
302,720000
303,450000
304,181500
305,230000
306,186500
307,359000
308,369437
309,725000
310,259000
311,630139
312,120000
313,100000
314,156975
315,376000
316,360824
317,222500
318,65000
319,400000
320,128853
321,30100
322,89900
323,346000
324,193193
325,149900
326,340000
327,25000
328,141245
329,255000
330,44000
331,180000
332,250000
333,765000
334,200000
335,218000
336,154900
337,153000
338,24000
339,190000
340,180000
341,560000
342,330000
343,470000
344,351000
345,630000
346,165000
347,170000
348,155000
349,220000
350,273000
351,405000
352,175000
353,445000
354,140000
355,130500
356,96500
357,252500
358,115000
359,325000
360,193500
361,38000
362,350000
363,124000
364,195000
365,109000
366,121500
367,110000
368,27000
369,335000
370,287000
371,475000
372,129000
373,250000
374,165000
375,24000
376,180000
377,162500
378,30000
379,208000
380,735000
381,587000
382,144000
383,186500
384,102000
385,299000
386,150000
387,190000
388,492500
389,200000
390,205000
391,120000
392,171000
393,339000
394,250000
395,36000
396,623500
397,26000
398,390000
399,149000
400,213000
401,430000
402,305000
403,53000
404,361000
405,60000
406,415000
407,364000
408,350500
409,46500
410,35000
411,158000
412,476000
413,301000
414,178000
415,105000
416,95600
417,343500
418,123000
419,139000
420,135000
421,95000
422,120000
423,165000
424,284000
425,155000
426,145000
427,356000
428,45000
429,300000
430,93000
431,224900
432,502000
433,105000
434,195000
435,120263
436,31000
437,275000
438,231250
439,38200
440,500000
441,136000
442,507500
443,110000
444,309000
445,225000
446,185000
447,76500
448,310000
449,100000
450,290000
451,280000
452,165000
453,105000
454,50000
455,160000
456,93000
457,255000
458,210000
459,275000
460,197000
461,145000
462,130000
463,560000
464,125000
465,300000
466,299000
467,49999
468,130000
469,201000
470,262000
471,285258
472,322500
473,245000
474,207500
475,215000
476,226497
477,465000
478,230000
479,108000
480,600000
481,123000
482,403000
483,242519
484,74900
485,184000
486,171000
487,175000
488,83000
489,445000
490,240000
491,210000
492,180000
493,235000
494,495000
495,55000
496,417500
497,305000
498,470000
499,99000
500,116450
501,345000
502,275000
503,125000
504,183000
505,290000
506,330000
507,656000
508,395000
509,555000
510,410000
511,117500
512,240000
513,660000
514,180000
515,412000
516,295000
517,200547
518,160000
519,334900
520,215000
521,102000
522,502000
523,290000
524,295000
525,210000
526,235000
527,255000
528,40700
529,490000
530,352500
531,461750
532,159000
533,670000
534,300000
535,595500
536,335000
537,512000
538,280000
539,105000
540,485000
541,81250
542,215000
543,480000
544,110000
545,109900
546,87900
547,440000
548,184000
549,78000
550,182500
551,132900
552,250000
553,185000
554,99000
555,244000
556,290000
557,240000
558,69000
559,300000
560,80000
561,156000
562,269100
563,55500
564,494900
565,100000
566,210000
567,117000
568,190000
569,239900
570,155500
571,540000
572,160000
573,207000
574,338000
575,38000
576,423000
577,285000
578,315000
579,86000
580,115000
581,325000
582,430000
583,150000
584,260000
585,490000
586,148000
587,725000
588,510000
589,65000
590,568000
591,289000
592,276250
593,273000
594,245000
595,175000
596,700000
597,280000
598,220000
599,177000
600,510800
601,230000
602,353000
603,455000
604,90000
605,130000
606,165000
607,105000
608,239299
609,325000
610,360000
611,205000
612,238500
613,171000
614,205500
615,260000
616,25200
617,119500
618,404500
619,127400
620,265000
621,135000
622,36874
623,285000
624,760000
625,291000
626,680000
627,46500
628,199000
629,50000
630,106000
631,205000
632,110000
633,62000
634,430000
635,110000
636,230000
637,40017
638,95000
639,278000
640,270000
641,110000
642,99000
643,230000
644,153425
645,315000
646,472500
647,343500
648,54870
649,41000
650,128000
651,155000
652,584000
653,110000
654,167200
655,350100
656,123500
657,280000
658,119500
659,367500
660,40000
661,300000
662,190000
663,195000
664,133000
665,250000
666,124000
667,345000
668,125000
669,52530
670,210000
671,140000
672,30000
673,160000
674,179500
675,85600
676,281500
677,205000
678,241000
679,283200
680,298000
681,130000
682,211000
683,140000
684,35000
685,430000
686,294000
687,335000
688,437500
689,343500
690,326000
691,292000
692,357500
693,140000
694,252000
695,95000
696,450000
697,155000
698,355000
699,405000
700,126900
701,300000
702,185000
703,290000
704,330000
705,269000
706,170000
707,195000
708,191500
709,190000
710,462000
711,378000
712,96000
713,200000
714,272000
715,199999
716,185000
717,267800
718,240000
719,67000
720,36000
721,227500
722,170000
723,440000
724,570000
725,425000
726,130000
727,350000
728,219900
729,665000
730,75000
731,173000
732,515000
733,270000
734,752500
735,135000
736,205000
737,193000
738,25000
739,337000
740,233000
741,285000
742,267819
743,243000
744,149900
745,235000
746,228800
747,457500
748,335000
749,23000
750,158000
751,395000
752,231000
753,25000
754,120000
755,182500
756,210000
757,65899
758,30100
759,530000
760,171250
761,230000
762,148000
763,93000
764,338000
765,310000
766,110000
767,148055
768,76011
769,232000
770,150000
771,260000
772,147000
773,35500
774,151500
775,499000
776,253500
777,90000
778,172000
779,272000
780,390500
781,600000
782,145000
783,322000
784,242000
785,772500
786,141000
787,407000
788,326000
789,215000
790,323000
791,42000
792,755000
793,141000
794,735000
795,157000
796,194000
797,349000
798,127500
799,365000
800,220000
801,153000
802,350000
803,190000
804,155000
805,690000
806,131000
807,170000
808,117500
809,643000
810,239900
811,205000
812,240000
813,190000
814,81550
815,170000
816,535000
817,100000
818,172000
819,41000
820,25000
821,179900
822,200000
823,679900
824,275000
825,239000
826,136000
827,137000
828,212000
829,50003
830,255000
831,165000
832,465000
833,125000
834,200000
835,395000
836,120000
837,485000
838,136500
839,192000
840,160000
841,237000
842,235000
843,275500
844,150100
845,290000
846,330000
847,323000
848,120000
849,75000
850,327000
851,285000
852,371500
853,271000
854,81000
855,248000
856,130000
857,216500
858,212000
859,70100
860,159000
861,267000
862,137000
863,315000
864,311000
865,265000
866,500000
867,154737
868,40000
869,350000
870,45000
871,400000
872,442000
873,215000
874,224900
875,135500
876,476500
877,275000
878,130000
879,136000
880,108615
881,59000
882,116900
883,415000
884,520000
885,369222
886,247000
887,517000
888,100000
889,235000
890,452000
891,410000
892,370000
893,355000
894,149000
895,235000
896,590000
897,160000
898,164800
899,102000
900,394000
901,25000
902,92700
903,180000
904,90000
905,225000
906,30000
907,285000
908,159000
909,535000
910,300000
911,339000
912,241000
913,600000
914,222000
915,255000
916,120000
917,205000
918,36000
919,295000
920,200000
921,32798
922,30000
923,250000
924,29000
925,280000
926,295000
927,250000
928,417000
929,307000
930,214000
931,167500
932,36975
933,320000
934,312000
935,390000
936,670000
937,70100
938,211000
939,381500
940,95000
941,224000
942,198000
943,68000
944,273000
945,35000
946,100000
947,320000
948,68125
949,150000
950,602500
951,360000
952,277816
953,474500
954,500000
955,62000
956,265000
957,50000
958,224742
959,135000
960,275000
961,275000
962,699000
963,260000
964,38000
965,90000
966,100000
967,58500
968,125000
969,61000
970,475000
971,43000
972,55000
973,149000
974,465000
975,725000
976,700000
977,609000
978,298000
979,346000
980,125000
981,138000
982,648000
983,150000
984,150000
985,142500
986,240000
987,180000
988,93900
989,135000
990,132000
991,80000
992,82000
993,366500
994,174900
995,70000
996,336000
997,357500
998,208300
999,320000
1000,165000
1001,167500
1002,403000
1003,129900
1004,264000
1005,474430
1006,275000
1007,35000
1008,350000
1009,149900
1010,275000
1011,189900
1012,183000
1013,75000
1014,255000
1015,339900
1016,192000
1017,445501
1018,299000
1019,450000
1020,135000
1021,235000
1022,365000
1023,179900
1024,165000
1025,190000
1026,110000
1027,395000
1028,47000
1029,180000
1030,66974
1031,190000
1032,227000
1033,270000
1034,212078
1035,672500
1036,304000
1037,185000
1038,325000
1039,177000
1040,250000
1041,300500
1042,525000
1043,60000
1044,234500
1045,245000
1046,289500
1047,650000
1048,44000
1049,460000
1050,480000
1051,350000
1052,40000
1053,220000
1054,406000
1055,540000
1056,52000
1057,189900
1058,247000
1059,48961
1060,29000
1061,242000
1062,399000
1063,135000
1064,24500
1065,219900
1066,128500
1067,600000
1068,339000
1069,140000
1070,286125
1071,267500
1072,400000
1073,26000
1074,702000
1075,270000
1076,44391
1077,390000
1078,51580
1079,183000
1080,760500
1081,178500
1082,345500
1083,23000
1084,41000
1085,27500
1086,492500
1087,25500
1088,22000
1089,250000
1090,375000
1091,501000
1092,110000
1093,176750
1094,34900
1095,422000
1096,134900
1097,150000
1098,196600
1099,149000
1100,71250
1101,22010
1102,189900
1103,420000
1104,180000
1105,84900
1106,247000
1107,69900
1108,84500
1109,385000
1110,268000
1111,295000
1112,272500
1113,70500
1114,549000
1115,78000
1116,285000
1117,125000
1118,215000
1119,200000
1120,385000
1121,338000
1122,150000
1123,180000
1124,45000
1125,78750
1126,102500
1127,312000
1128,185000
1129,75000
1130,36000
1131,291000
1132,375000
1133,40000
1134,155500
1135,185000
1136,195000
1137,345000
1138,200000
1139,82250
1140,159809
1141,259000
1142,504000
1143,180000
1144,49500
1145,135000
1146,330000
1147,357000
1148,372900
1149,180000
1150,350000
1151,133875
1152,219000
1153,430000
1154,305000
1155,70000
1156,135000
1157,249000
1158,87000
1159,365000
1160,380000
1161,440000
1162,153000
1163,124900
1164,69900
1165,385000
1166,380000
1167,720000
1168,77400
1169,223000
1170,589000
1171,210000
1172,180000
1173,76000
1174,210000
1175,190000
1176,21000
1177,183000
1178,376000
1179,303000
1180,172500
1181,374900
1182,24000
1183,280000
1184,135000
1185,342000
1186,206000
1187,342000
1188,335000
1189,308000
1190,360100
1191,720000
1192,424200
1193,114930
1194,225000
1195,70000
1196,135000
1197,186000
1198,132500
1199,135000
1200,256000
1201,397000
1202,268000
1203,295000
1204,201000
1205,219900
1206,95000
1207,110000
1208,270000
1209,265000
1210,435000
1211,283500
1212,170000
1213,205000
1214,250000
1215,255000
1216,265000
1217,235000
1218,586500
1219,110000
1220,194000
1221,52000
1222,475000
1223,93000
1224,255000
1225,290000
1226,340000
1227,86100
1228,295000
1229,330000
1230,49000
1231,65000
1232,160000
1233,22000
1234,110000
1235,548987
1236,300000
1237,242500
1238,225000
1239,115000
1240,267000
1241,82500
1242,58362
1243,37200
1244,137500
1245,42000
1246,171000
1247,118000
1248,290000
1249,187500
1250,60000
1251,170000
1252,218000
1253,270000
1254,305000
1255,271000
1256,205500
1257,174900
1258,130000
1259,64000
1260,139000
1261,625000
1262,62000
1263,348000
1264,176000
1265,177000
1266,176000
1267,43500
1268,318000
1269,75000
1270,195000
1271,255000
1272,80000
1273,360000
1274,132000
1275,55000
1276,315000
1277,70000
1278,115000
1279,755000
1280,615000
1281,76650
1282,530000
1283,130500
1284,540000
1285,300000
1286,140000
1287,56000
1288,480000
1289,185000
1290,450000
1291,173100
1292,42434
1293,26000
1294,220000
1295,425000
1296,52000
1297,325000
1298,335000
1299,40000
1300,71505
1301,510000
1302,250000
1303,275000
1304,89400
1305,101500
1306,415000
1307,750000
1308,235000
1309,127000
1310,165000
1311,225000
1312,128000
1313,122200
1314,135500
1315,356000
1316,425000
1317,155490
1318,224000
1319,565000
1320,425000
1321,636500
1322,206000
1323,200000
1324,235022
1325,187500
1326,319000
1327,144500
1328,156000
1329,63000
1330,49000
1331,330000
1332,269900
1333,600000
1334,23399
1335,115000
1336,26000
1337,86000
1338,350000
1339,74000
1340,150000
1341,362000
1342,290000
1343,349900
1344,175000
1345,219900
1346,132620
1347,51000
1348,570000
1349,415000
1350,38900
1351,150000
1352,168067
1353,408000
1354,70000
1355,241200
1356,150251
1357,209000
1358,28000
1359,65000
1360,450000
1361,720000
1362,650000
1363,185000
1364,400000
1365,560000
1366,42900
1367,50000
1368,157000
1369,185000
1370,149500
1371,485000
1372,280000
1373,179000
1374,121000
1375,92000
1376,172500
1377,201000
1378,180000
1379,300000
1380,325000
1381,84400
1382,175000
1383,50000
1384,155000
1385,23000
1386,225460
1387,106000
1388,662250
1389,343000
1390,145000
1391,310000
1392,31505
1393,187000
1394,317500
1395,260000
1396,534000
1397,72779
1398,508000
1399,118839
1400,417000
1401,49900
1402,110000
1403,65000
1404,380000
1405,152500
1406,140000
1407,51700
1408,166000
1409,425000
1410,235000
1411,280000
1412,490000
1413,173256
1414,183000
1415,150000
1416,331000
1417,290000
1418,105000
1419,21000
1420,105900
1421,313000
1422,39009
1423,155000
1424,269500
1425,249900
1426,237500
1427,294000
1428,475000
1429,186000
1430,164000
1431,235000
1432,207500
1433,60200
1434,144000
1435,141000
1436,355000
1437,27000
1438,394000
1439,138660
1440,200000
1441,640000
1442,85050
1443,38500
1444,405000
1445,28100
1446,342500
1447,213000
1448,410000
1449,141000
1450,146994
1451,250000
1452,95500
1453,180000
1454,164000
1455,205000
1456,88000
1457,170000
1458,185000
